,client_id,loan_id,state,arrears_days,total_paid,percentage,Monto Acumulado,Uso de los recursos,Plazo,Sector,Ingresos,Ubicación,Estrato Mínimo,Procesos judiciales,Alertas,Score Bureau Empresa,Huellas de Consulta,Tiempo en el negocio,Website empresa,Instagram empresa,LinkedIn empresa,LinkedIn empresarios,Edad empresarios,Activador,Número de accionistas,Impacto,Acceso previso a la banca,# Empleados,Mujeres empresarias,Mujeres en cargos directivos,cluster
0,241,1076,PAID,17,147915805.0,0.0637037037037037,250000000,CR ,25 a 36 meses,Servicios,Seed,Medellín,5,No,No,925.0,8.0,2016,Si,Si,Si,Si,45,Internet,2.0,No,Si,16,No,2,1
1,241,1244,PAID,23,91852726.0,0.08888888888888889,250000000,CR ,25 a 36 meses,Servicios,Seed,Medellín,5,No,No,925.0,8.0,2016,Si,Si,Si,Si,45,Internet,2.0,No,Si,16,No,2,1
2,362,1469,PAID,14,15211138.0,0.08666666666666666,50000000,KT - EX,13 a 24 meses,Servicios,Seed,Medellín,3,No,No,924.0,2.0,2014,Si,No,Si,No,32,SocialNetworks,3.0,No,Si,3,No,0,0
3,428,119,LATE,64,8713879.0,0.3,40000000,SP,13 a 24 meses,Industria,Seed,Medellín,4,No,No,861.0,1.0,2015,Si,No,Si,Si,44,CreditProfessionalContact,2.0,No,Si,5,No,0,0
4,428,120,LATE,64,8102608.0,0.3,40000000,SP,13 a 24 meses,Industria,Seed,Medellín,4,No,No,861.0,1.0,2015,Si,No,Si,Si,44,CreditProfessionalContact,2.0,No,Si,5,No,0,0
5,429,998,LATE,65,34013973.0,0.3385185185185185,111491000,SP,Menos de 12 meses,Servicios,Seed,Medellín,4,No,No,951.0,0.0,2008,No,No,No,No,49,CreditProfessionalContact,2.0,No,No,5,No,2,0
6,429,1512,LATE,42,9890745.0,0.25703703703703706,111491000,SP,Menos de 12 meses,Servicios,Seed,Medellín,4,No,No,951.0,0.0,2008,No,No,No,No,49,CreditProfessionalContact,2.0,No,No,5,No,2,0
7,430,205,LATE,33,127943202.0,0.2429629629629629,1299370581,KT - CO,Menos de 12 meses,Industria,Venture,Envigado,5,No,Si,810.0,20.0,2015,Si,Si,Si,Si,24,Other,3.0,No,Si,22,No,0,1
8,430,587,PAID,1,91401252.0,0.006666666666666667,1299370581,KT - CO,Menos de 12 meses,Industria,Venture,Envigado,5,No,Si,810.0,20.0,2015,Si,Si,Si,Si,24,Other,3.0,No,Si,22,No,0,1
9,430,1092,PAID,0,69718610.0,0.0,1299370581,KT - CO,Menos de 12 meses,Industria,Venture,Envigado,5,No,Si,810.0,20.0,2015,Si,Si,Si,Si,24,Other,3.0,No,Si,22,No,0,1
